Games won/total: 1/1, win %: 100.0%, last score - black/white:33/31
Games won/total: 1/2, win %: 50.0%, last score - black/white:21/43
Games won/total: 2/3, win %: 66.67%, last score - black/white:47/17
Games won/total: 3/4, win %: 75.0%, last score - black/white:35/29
Games won/total: 4/5, win %: 80.0%, last score - black/white:41/23
Games won/total: 4/6, win %: 66.67%, last score - black/white:29/35
Games won/total: 4/7, win %: 57.14%, last score - black/white:29/35
Games won/total: 4/8, win %: 50.0%, last score - black/white:31/33
Games won/total: 4/9, win %: 44.44%, last score - black/white:29/35
Games won/total: 5/10, win %: 50.0%, last score - black/white:53/11
Syncing agents weights...
Games won/total: 5/11, win %: 45.45%, last score - black/white:32/32
Games won/total: 5/12, win %: 41.67%, last score - black/white:23/41
Games won/total: 6/13, win %: 46.15%, last score - black/white:35/29
Games won/total: 6/14, win %: 42.86%, last score - black/white:24/40
Games won/total: 6/15, win %: 40.0%, last score - black/white:13/51
Games won/total: 0/1, win %: 0.0%, last score - black/white:23/41
Games won/total: 1/2, win %: 50.0%, last score - black/white:47/17
Games won/total: 2/3, win %: 66.67%, last score - black/white:39/25
Games won/total: 3/4, win %: 75.0%, last score - black/white:51/13
Games won/total: 3/5, win %: 60.0%, last score - black/white:32/32
Games won/total: 3/6, win %: 50.0%, last score - black/white:25/39
Games won/total: 4/7, win %: 57.14%, last score - black/white:47/17
Games won/total: 5/8, win %: 62.5%, last score - black/white:37/27
Games won/total: 6/9, win %: 66.67%, last score - black/white:41/23
Games won/total: 6/10, win %: 60.0%, last score - black/white:19/45
Syncing agents weights...
Games won/total: 6/11, win %: 54.55%, last score - black/white:14/50
Games won/total: 7/12, win %: 58.33%, last score - black/white:40/24
Games won/total: 7/13, win %: 53.85%, last score - black/white:28/36
Games won/total: 8/14, win %: 57.14%, last score - black/white:35/29
Games won/total: 8/15, win %: 53.33%, last score - black/white:23/41
Games won/total: 8/16, win %: 50.0%, last score - black/white:25/39
Games won/total: 9/17, win %: 52.94%, last score - black/white:40/24
Games won/total: 10/18, win %: 55.56%, last score - black/white:35/29
Games won/total: 11/19, win %: 57.89%, last score - black/white:37/27
Games won/total: 12/20, win %: 60.0%, last score - black/white:35/29
Syncing agents weights...
Games won/total: 13/21, win %: 61.9%, last score - black/white:47/17
Games won/total: 13/22, win %: 59.09%, last score - black/white:27/36
Games won/total: 14/23, win %: 60.87%, last score - black/white:35/29
Games won/total: 14/24, win %: 58.33%, last score - black/white:24/40
Games won/total: 15/25, win %: 60.0%, last score - black/white:33/31
Games won/total: 15/26, win %: 57.69%, last score - black/white:25/39
Games won/total: 16/27, win %: 59.26%, last score - black/white:44/20
Games won/total: 17/28, win %: 60.71%, last score - black/white:40/24
Games won/total: 18/29, win %: 62.07%, last score - black/white:32/28
Games won/total: 19/30, win %: 63.33%, last score - black/white:50/14
Syncing agents weights...
Games won/total: 19/31, win %: 61.29%, last score - black/white:19/45
Games won/total: 19/32, win %: 59.38%, last score - black/white:24/40
Games won/total: 19/33, win %: 57.58%, last score - black/white:29/29
Games won/total: 20/34, win %: 58.82%, last score - black/white:38/22
Games won/total: 21/35, win %: 60.0%, last score - black/white:38/22
Games won/total: 22/36, win %: 61.11%, last score - black/white:34/28
Games won/total: 22/37, win %: 59.46%, last score - black/white:23/31
Games won/total: 23/38, win %: 60.53%, last score - black/white:32/30
Games won/total: 23/39, win %: 58.97%, last score - black/white:26/38
Games won/total: 24/40, win %: 60.0%, last score - black/white:53/11
Syncing agents weights...
Games won/total: 24/41, win %: 58.54%, last score - black/white:17/25
Games won/total: 25/42, win %: 59.52%, last score - black/white:37/27
Games won/total: 26/43, win %: 60.47%, last score - black/white:33/31
Games won/total: 27/44, win %: 61.36%, last score - black/white:30/24
Games won/total: 28/45, win %: 62.22%, last score - black/white:31/23
Games won/total: 28/46, win %: 60.87%, last score - black/white:31/33
Games won/total: 28/47, win %: 59.57%, last score - black/white:12/20
Games won/total: 28/48, win %: 58.33%, last score - black/white:14/32
Games won/total: 28/49, win %: 57.14%, last score - black/white:15/27
Games won/total: 29/50, win %: 58.0%, last score - black/white:33/27
Syncing agents weights...
Games won/total: 29/51, win %: 56.86%, last score - black/white:26/34
Games won/total: 29/52, win %: 55.77%, last score - black/white:11/19
Games won/total: 29/53, win %: 54.72%, last score - black/white:13/37
Games won/total: 29/54, win %: 53.7%, last score - black/white:13/17
Games won/total: 29/55, win %: 52.73%, last score - black/white:24/28
Games won/total: 29/56, win %: 51.79%, last score - black/white:21/21
Games won/total: 29/57, win %: 50.88%, last score - black/white:17/23
Games won/total: 29/58, win %: 50.0%, last score - black/white:32/32
Games won/total: 29/59, win %: 49.15%, last score - black/white:11/17
Games won/total: 29/60, win %: 48.33%, last score - black/white:11/17
Syncing agents weights...
Games won/total: 30/61, win %: 49.18%, last score - black/white:19/17
Games won/total: 30/62, win %: 48.39%, last score - black/white:9/11
Games won/total: 30/63, win %: 47.62%, last score - black/white:10/12
Games won/total: 30/64, win %: 46.88%, last score - black/white:10/12
Games won/total: 30/65, win %: 46.15%, last score - black/white:9/11
Games won/total: 30/66, win %: 45.45%, last score - black/white:21/23
Games won/total: 30/67, win %: 44.78%, last score - black/white:10/12
Games won/total: 30/68, win %: 44.12%, last score - black/white:9/13
Games won/total: 30/69, win %: 43.48%, last score - black/white:10/12
Games won/total: 30/70, win %: 42.86%, last score - black/white:9/17
Syncing agents weights...
Games won/total: 30/71, win %: 42.25%, last score - black/white:10/12
Games won/total: 31/72, win %: 43.06%, last score - black/white:42/22
Games won/total: 31/73, win %: 42.47%, last score - black/white:15/17
Games won/total: 31/74, win %: 41.89%, last score - black/white:22/28
Games won/total: 31/75, win %: 41.33%, last score - black/white:12/18
Games won/total: 31/76, win %: 40.79%, last score - black/white:3/7
Games won/total: 31/77, win %: 40.26%, last score - black/white:3/7
Games won/total: 31/78, win %: 39.74%, last score - black/white:8/14
Games won/total: 31/79, win %: 39.24%, last score - black/white:20/38
Games won/total: 31/80, win %: 38.75%, last score - black/white:8/14
Syncing agents weights...
Games won/total: 31/81, win %: 38.27%, last score - black/white:8/14
Games won/total: 31/82, win %: 37.8%, last score - black/white:16/16
Games won/total: 32/83, win %: 38.55%, last score - black/white:14/12
Games won/total: 33/84, win %: 39.29%, last score - black/white:12/8
Games won/total: 33/85, win %: 38.82%, last score - black/white:10/10
Games won/total: 33/86, win %: 38.37%, last score - black/white:10/10
Games won/total: 33/87, win %: 37.93%, last score - black/white:13/19
Games won/total: 33/88, win %: 37.5%, last score - black/white:8/12
Games won/total: 33/89, win %: 37.08%, last score - black/white:3/7
Games won/total: 33/90, win %: 36.67%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 33/91, win %: 36.26%, last score - black/white:3/7
Games won/total: 33/92, win %: 35.87%, last score - black/white:4/4
Games won/total: 33/93, win %: 35.48%, last score - black/white:12/18
Games won/total: 33/94, win %: 35.11%, last score - black/white:3/7
Games won/total: 33/95, win %: 34.74%, last score - black/white:3/7
Games won/total: 33/96, win %: 34.38%, last score - black/white:3/7
Games won/total: 33/97, win %: 34.02%, last score - black/white:3/7
Games won/total: 33/98, win %: 33.67%, last score - black/white:3/7
Games won/total: 33/99, win %: 33.33%, last score - black/white:3/7
Games won/total: 33/100, win %: 33.0%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 33/101, win %: 32.67%, last score - black/white:3/7
Games won/total: 33/102, win %: 32.35%, last score - black/white:3/7
Games won/total: 33/103, win %: 32.04%, last score - black/white:3/7
Games won/total: 33/104, win %: 31.73%, last score - black/white:4/4
Games won/total: 33/105, win %: 31.43%, last score - black/white:3/7
Games won/total: 33/106, win %: 31.13%, last score - black/white:3/7
Games won/total: 33/107, win %: 30.84%, last score - black/white:3/7
Games won/total: 33/108, win %: 30.56%, last score - black/white:3/7
Games won/total: 33/109, win %: 30.28%, last score - black/white:3/7
Games won/total: 33/110, win %: 30.0%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 33/111, win %: 29.73%, last score - black/white:3/7
Games won/total: 33/112, win %: 29.46%, last score - black/white:3/7
Games won/total: 33/113, win %: 29.2%, last score - black/white:3/7
Games won/total: 33/114, win %: 28.95%, last score - black/white:18/24
Games won/total: 33/115, win %: 28.7%, last score - black/white:24/30
Games won/total: 34/116, win %: 29.31%, last score - black/white:12/8
Games won/total: 34/117, win %: 29.06%, last score - black/white:3/7
Games won/total: 34/118, win %: 28.81%, last score - black/white:3/7
Games won/total: 34/119, win %: 28.57%, last score - black/white:3/7
Games won/total: 34/120, win %: 28.33%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 34/121, win %: 28.1%, last score - black/white:7/11
Games won/total: 34/122, win %: 27.87%, last score - black/white:3/7
Games won/total: 34/123, win %: 27.64%, last score - black/white:9/13
Games won/total: 34/124, win %: 27.42%, last score - black/white:3/7
Games won/total: 34/125, win %: 27.2%, last score - black/white:3/7
Games won/total: 34/126, win %: 26.98%, last score - black/white:3/7
Games won/total: 34/127, win %: 26.77%, last score - black/white:3/7
Games won/total: 34/128, win %: 26.56%, last score - black/white:3/7
Games won/total: 34/129, win %: 26.36%, last score - black/white:3/7
Games won/total: 34/130, win %: 26.15%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 34/131, win %: 25.95%, last score - black/white:3/7
Games won/total: 34/132, win %: 25.76%, last score - black/white:3/7
Games won/total: 34/133, win %: 25.56%, last score - black/white:3/7
Games won/total: 34/134, win %: 25.37%, last score - black/white:3/7
Games won/total: 34/135, win %: 25.19%, last score - black/white:3/7
Games won/total: 34/136, win %: 25.0%, last score - black/white:3/7
Games won/total: 34/137, win %: 24.82%, last score - black/white:3/7
Games won/total: 34/138, win %: 24.64%, last score - black/white:3/7
Games won/total: 34/139, win %: 24.46%, last score - black/white:3/7
Games won/total: 35/140, win %: 25.0%, last score - black/white:12/8
Syncing agents weights...
Games won/total: 35/141, win %: 24.82%, last score - black/white:3/7
Games won/total: 35/142, win %: 24.65%, last score - black/white:3/7
Games won/total: 35/143, win %: 24.48%, last score - black/white:3/7
Games won/total: 35/144, win %: 24.31%, last score - black/white:6/10
Games won/total: 35/145, win %: 24.14%, last score - black/white:3/7
Games won/total: 35/146, win %: 23.97%, last score - black/white:3/7
Games won/total: 35/147, win %: 23.81%, last score - black/white:3/7
Games won/total: 35/148, win %: 23.65%, last score - black/white:3/7
Games won/total: 35/149, win %: 23.49%, last score - black/white:3/7
Games won/total: 35/150, win %: 23.33%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 35/151, win %: 23.18%, last score - black/white:3/7
Games won/total: 35/152, win %: 23.03%, last score - black/white:5/9
Games won/total: 35/153, win %: 22.88%, last score - black/white:3/7
Games won/total: 35/154, win %: 22.73%, last score - black/white:3/7
Games won/total: 35/155, win %: 22.58%, last score - black/white:3/7
Games won/total: 35/156, win %: 22.44%, last score - black/white:3/7
Games won/total: 35/157, win %: 22.29%, last score - black/white:3/7
Games won/total: 35/158, win %: 22.15%, last score - black/white:3/7
Games won/total: 35/159, win %: 22.01%, last score - black/white:7/13
Games won/total: 35/160, win %: 21.88%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 35/161, win %: 21.74%, last score - black/white:3/7
Games won/total: 35/162, win %: 21.6%, last score - black/white:6/10
Games won/total: 35/163, win %: 21.47%, last score - black/white:3/7
Games won/total: 35/164, win %: 21.34%, last score - black/white:3/7
Games won/total: 35/165, win %: 21.21%, last score - black/white:9/13
Games won/total: 35/166, win %: 21.08%, last score - black/white:3/7
Games won/total: 35/167, win %: 20.96%, last score - black/white:3/7
Games won/total: 35/168, win %: 20.83%, last score - black/white:3/7
Games won/total: 35/169, win %: 20.71%, last score - black/white:4/10
Games won/total: 35/170, win %: 20.59%, last score - black/white:5/11
Syncing agents weights...
Games won/total: 35/171, win %: 20.47%, last score - black/white:3/7
Games won/total: 35/172, win %: 20.35%, last score - black/white:3/7
Games won/total: 36/173, win %: 20.81%, last score - black/white:15/13
Games won/total: 36/174, win %: 20.69%, last score - black/white:3/7
Games won/total: 36/175, win %: 20.57%, last score - black/white:3/7
Games won/total: 36/176, win %: 20.45%, last score - black/white:3/7
Games won/total: 36/177, win %: 20.34%, last score - black/white:3/7
Games won/total: 36/178, win %: 20.22%, last score - black/white:3/7
Games won/total: 36/179, win %: 20.11%, last score - black/white:3/7
Games won/total: 36/180, win %: 20.0%, last score - black/white:4/8
Syncing agents weights...
Games won/total: 36/181, win %: 19.89%, last score - black/white:3/7
Games won/total: 36/182, win %: 19.78%, last score - black/white:3/7
Games won/total: 36/183, win %: 19.67%, last score - black/white:3/7
Games won/total: 36/184, win %: 19.57%, last score - black/white:3/7
Games won/total: 36/185, win %: 19.46%, last score - black/white:3/7
Games won/total: 36/186, win %: 19.35%, last score - black/white:3/7
Games won/total: 36/187, win %: 19.25%, last score - black/white:3/7
Games won/total: 36/188, win %: 19.15%, last score - black/white:3/7
Games won/total: 36/189, win %: 19.05%, last score - black/white:5/7
Games won/total: 36/190, win %: 18.95%, last score - black/white:3/7
