Games won/total: 0/1, win %: 0.0%, last score - black/white:28/36
Games won/total: 1/2, win %: 50.0%, last score - black/white:47/17
Games won/total: 2/3, win %: 66.67%, last score - black/white:45/19
Games won/total: 2/4, win %: 50.0%, last score - black/white:26/37
Games won/total: 3/5, win %: 60.0%, last score - black/white:33/31
Games won/total: 3/6, win %: 50.0%, last score - black/white:31/33
Games won/total: 3/7, win %: 42.86%, last score - black/white:26/38
Games won/total: 3/8, win %: 37.5%, last score - black/white:29/35
Games won/total: 3/9, win %: 33.33%, last score - black/white:27/37
Games won/total: 3/10, win %: 30.0%, last score - black/white:26/38
Syncing agents weights...
Games won/total: 3/11, win %: 27.27%, last score - black/white:31/32
Games won/total: 3/12, win %: 25.0%, last score - black/white:24/40
Games won/total: 4/13, win %: 30.77%, last score - black/white:36/28
Games won/total: 5/14, win %: 35.71%, last score - black/white:39/25
Games won/total: 5/15, win %: 33.33%, last score - black/white:19/44
Games won/total: 5/16, win %: 31.25%, last score - black/white:26/38
Games won/total: 5/17, win %: 29.41%, last score - black/white:26/37
Games won/total: 6/18, win %: 33.33%, last score - black/white:39/25
Games won/total: 7/19, win %: 36.84%, last score - black/white:45/19
Games won/total: 7/20, win %: 35.0%, last score - black/white:26/38
Syncing agents weights...
Games won/total: 8/21, win %: 38.1%, last score - black/white:36/28
Games won/total: 8/22, win %: 36.36%, last score - black/white:26/38
Games won/total: 9/23, win %: 39.13%, last score - black/white:32/31
Games won/total: 10/24, win %: 41.67%, last score - black/white:39/25
Games won/total: 11/25, win %: 44.0%, last score - black/white:46/18
Games won/total: 11/26, win %: 42.31%, last score - black/white:26/38
Games won/total: 12/27, win %: 44.44%, last score - black/white:32/31
Games won/total: 12/28, win %: 42.86%, last score - black/white:29/34
Games won/total: 12/29, win %: 41.38%, last score - black/white:30/34
Games won/total: 12/30, win %: 40.0%, last score - black/white:26/37
Syncing agents weights...
Games won/total: 12/31, win %: 38.71%, last score - black/white:29/31
Games won/total: 13/32, win %: 40.62%, last score - black/white:37/27
Games won/total: 13/33, win %: 39.39%, last score - black/white:32/32
Games won/total: 14/34, win %: 41.18%, last score - black/white:34/30
Games won/total: 15/35, win %: 42.86%, last score - black/white:38/26
Games won/total: 16/36, win %: 44.44%, last score - black/white:32/31
Games won/total: 17/37, win %: 45.95%, last score - black/white:35/29
Games won/total: 18/38, win %: 47.37%, last score - black/white:33/31
Games won/total: 18/39, win %: 46.15%, last score - black/white:27/37
Games won/total: 19/40, win %: 47.5%, last score - black/white:37/27
Syncing agents weights...
Games won/total: 20/41, win %: 48.78%, last score - black/white:33/31
Games won/total: 20/42, win %: 47.62%, last score - black/white:26/36
Games won/total: 21/43, win %: 48.84%, last score - black/white:33/31
Games won/total: 22/44, win %: 50.0%, last score - black/white:41/23
Games won/total: 23/45, win %: 51.11%, last score - black/white:33/31
Games won/total: 24/46, win %: 52.17%, last score - black/white:53/11
Games won/total: 25/47, win %: 53.19%, last score - black/white:53/11
Games won/total: 26/48, win %: 54.17%, last score - black/white:53/11
Games won/total: 27/49, win %: 55.1%, last score - black/white:53/11
Games won/total: 27/50, win %: 54.0%, last score - black/white:31/33
Syncing agents weights...
Games won/total: 27/51, win %: 52.94%, last score - black/white:26/38
Games won/total: 27/52, win %: 51.92%, last score - black/white:26/38
Games won/total: 27/53, win %: 50.94%, last score - black/white:26/38
Games won/total: 27/54, win %: 50.0%, last score - black/white:15/49
Games won/total: 28/55, win %: 50.91%, last score - black/white:38/26
Games won/total: 28/56, win %: 50.0%, last score - black/white:26/38
Games won/total: 28/57, win %: 49.12%, last score - black/white:27/37
Games won/total: 28/58, win %: 48.28%, last score - black/white:26/38
Games won/total: 29/59, win %: 49.15%, last score - black/white:36/28
Games won/total: 29/60, win %: 48.33%, last score - black/white:32/32
Syncing agents weights...
Games won/total: 29/61, win %: 47.54%, last score - black/white:20/44
Games won/total: 29/62, win %: 46.77%, last score - black/white:23/41
Games won/total: 30/63, win %: 47.62%, last score - black/white:46/18
Games won/total: 30/64, win %: 46.88%, last score - black/white:28/36
Games won/total: 31/65, win %: 47.69%, last score - black/white:34/30
Games won/total: 31/66, win %: 46.97%, last score - black/white:25/39
Games won/total: 31/67, win %: 46.27%, last score - black/white:30/34
Games won/total: 32/68, win %: 47.06%, last score - black/white:39/25
Games won/total: 32/69, win %: 46.38%, last score - black/white:28/36
Games won/total: 33/70, win %: 47.14%, last score - black/white:44/20
Syncing agents weights...
Games won/total: 34/71, win %: 47.89%, last score - black/white:39/25
Games won/total: 35/72, win %: 48.61%, last score - black/white:39/25
Games won/total: 35/73, win %: 47.95%, last score - black/white:30/34
Games won/total: 36/74, win %: 48.65%, last score - black/white:34/30
Games won/total: 37/75, win %: 49.33%, last score - black/white:42/22
Games won/total: 38/76, win %: 50.0%, last score - black/white:43/21
Games won/total: 39/77, win %: 50.65%, last score - black/white:33/31
Games won/total: 40/78, win %: 51.28%, last score - black/white:37/27
Games won/total: 40/79, win %: 50.63%, last score - black/white:27/35
Games won/total: 40/80, win %: 50.0%, last score - black/white:31/33
Syncing agents weights...
Games won/total: 41/81, win %: 50.62%, last score - black/white:37/27
Games won/total: 41/82, win %: 50.0%, last score - black/white:21/43
Games won/total: 42/83, win %: 50.6%, last score - black/white:37/27
Games won/total: 42/84, win %: 50.0%, last score - black/white:31/33
Games won/total: 43/85, win %: 50.59%, last score - black/white:43/21
Games won/total: 44/86, win %: 51.16%, last score - black/white:33/31
Games won/total: 45/87, win %: 51.72%, last score - black/white:40/24
Games won/total: 46/88, win %: 52.27%, last score - black/white:33/31
Games won/total: 47/89, win %: 52.81%, last score - black/white:37/27
Games won/total: 48/90, win %: 53.33%, last score - black/white:33/31
Syncing agents weights...
Games won/total: 48/91, win %: 52.75%, last score - black/white:26/38
Games won/total: 49/92, win %: 53.26%, last score - black/white:33/31
Games won/total: 50/93, win %: 53.76%, last score - black/white:35/29
Games won/total: 50/94, win %: 53.19%, last score - black/white:32/32
Games won/total: 50/95, win %: 52.63%, last score - black/white:25/38
Games won/total: 51/96, win %: 53.12%, last score - black/white:39/25
Games won/total: 52/97, win %: 53.61%, last score - black/white:47/17
Games won/total: 52/98, win %: 53.06%, last score - black/white:31/33
Games won/total: 53/99, win %: 53.54%, last score - black/white:50/14
Games won/total: 54/100, win %: 54.0%, last score - black/white:39/25
Syncing agents weights...
