Random games won/total: 1/1.0, win %: 100.0%, last score: 1.0
Random games won/total: 1/2.0, win %: 50.0%, last score: -1
Random games won/total: 2/3.0, win %: 66.67%, last score: 1.0
Random games won/total: 2/4.0, win %: 50.0%, last score: -1
Random games won/total: 3/5.0, win %: 60.0%, last score: 1.0
Random games won/total: 3/6.0, win %: 50.0%, last score: -1
Random games won/total: 4/7.0, win %: 57.14%, last score: 1.0
Random games won/total: 4/8.0, win %: 50.0%, last score: -1
Random games won/total: 4/9.0, win %: 44.44%, last score: -1
Random games won/total: 5/10.0, win %: 50.0%, last score: 1.0
Random games won/total: 6/11.0, win %: 54.55%, last score: 1.0
Random games won/total: 6/12.0, win %: 50.0%, last score: -1
Random games won/total: 7/13.0, win %: 53.85%, last score: 1.0
Random games won/total: 7/14.0, win %: 50.0%, last score: -1
Random games won/total: 7/15.0, win %: 46.67%, last score: -1
Random games won/total: 8/16.0, win %: 50.0%, last score: 1.0
Random games won/total: 8/17.0, win %: 47.06%, last score: -1
Random games won/total: 8/18.0, win %: 44.44%, last score: -1
Random games won/total: 9/19.0, win %: 47.37%, last score: 1.0
Random games won/total: 9/20.0, win %: 45.0%, last score: -1
Random games won/total: 10/21.0, win %: 47.62%, last score: 1.0
Random games won/total: 11/22.0, win %: 50.0%, last score: 1.0
Random games won/total: 12/23.0, win %: 52.17%, last score: 1.0
Random games won/total: 12/24.0, win %: 50.0%, last score: -1
Random games won/total: 12/25.0, win %: 48.0%, last score: -1
Random games won/total: 12/26.0, win %: 46.15%, last score: -1
Random games won/total: 12/27.0, win %: 44.44%, last score: -1
Random games won/total: 13/28.0, win %: 46.43%, last score: 1.0
Random games won/total: 13/29.0, win %: 44.83%, last score: -1
Random games won/total: 14/30.0, win %: 46.67%, last score: 1.0
Trained episode: 0, current score: -1 mean_score: 0.0, e: 0.74, iterations (steps): 30
Trained episode: 1, current score: -1 mean_score: 0.0, e: 0.55, iterations (steps): 60
Trained episode: 2, current score: -1 mean_score: 0.0, e: 0.4, iterations (steps): 90
Trained episode: 3, current score: 1.0 mean_score: 0.0, e: 0.3, iterations (steps): 121
Trained episode: 4, current score: 1.0 mean_score: 0.0, e: 0.22, iterations (steps): 151
Trained episode: 5, current score: 1.0 mean_score: 0.0, e: 0.16, iterations (steps): 181
Trained episode: 6, current score: 1.0 mean_score: 0.0, e: 0.12, iterations (steps): 213
Trained episode: 7, current score: -1 mean_score: 0.0, e: 0.099, iterations (steps): 243
Trained episode: 8, current score: -1 mean_score: 0.0, e: 0.099, iterations (steps): 274
Trained episode: 9, current score: 1.0 mean_score: 0.0, e: 0.099, iterations (steps): 304
Trained episode: 10, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 334
Trained episode: 11, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 364
Trained episode: 12, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 395
Trained episode: 13, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 425
Trained episode: 14, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 456
Trained episode: 15, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 486
Trained episode: 16, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 516
Trained episode: 17, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 546
Trained episode: 18, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 576
Trained episode: 19, current score: -1 mean_score: 0.8, e: 0.099, iterations (steps): 607
Trained episode: 20, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 637
Trained episode: 21, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 667
Trained episode: 22, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 698
Trained episode: 23, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 728
Trained episode: 24, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 759
Trained episode: 25, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 790
Trained episode: 26, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 820
Trained episode: 27, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 851
Trained episode: 28, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 882
Trained episode: 29, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 912
Trained episode: 30, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 942
Trained episode: 31, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 972
Trained episode: 32, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 1002
Trained episode: 33, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 1032
Trained episode: 34, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 1062
Trained episode: 35, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 1092
Trained episode: 36, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 1123
Trained episode: 37, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 1153
Trained episode: 38, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 1183
Trained episode: 39, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 1214
Trained episode: 40, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 1245
Trained episode: 41, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 1275
Trained episode: 42, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 1305
Trained episode: 43, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 1336
Trained episode: 44, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 1367
Trained episode: 45, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 1397
Trained episode: 46, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 1427
Trained episode: 47, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 1457
Trained episode: 48, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 1487
Trained episode: 49, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 1517
Trained episode: 50, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 1547
Trained episode: 51, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 1578
Trained episode: 52, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 1608
Trained episode: 53, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 1638
Trained episode: 54, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 1668
Trained episode: 55, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1698
Trained episode: 56, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1728
Trained episode: 57, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1758
Trained episode: 58, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1788
Trained episode: 59, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 1819
Trained episode: 60, current score: 1.0 mean_score: 0.2, e: 0.099, iterations (steps): 1849
Trained episode: 61, current score: 1.0 mean_score: 0.2, e: 0.099, iterations (steps): 1880
Trained episode: 62, current score: 1.0 mean_score: 0.2, e: 0.099, iterations (steps): 1910
Trained episode: 63, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 1941
Trained episode: 64, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 1972
Trained episode: 65, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 2002
Trained episode: 66, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2033
Trained episode: 67, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 2064
Trained episode: 68, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 2095
Trained episode: 69, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 2125
Trained episode: 70, current score: -1 mean_score: 0.9, e: 0.099, iterations (steps): 2156
Trained episode: 71, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 2187
Trained episode: 72, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 2218
Trained episode: 73, current score: -1 mean_score: 0.8, e: 0.099, iterations (steps): 2248
Trained episode: 74, current score: -1 mean_score: 0.8, e: 0.099, iterations (steps): 2279
Trained episode: 75, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 2309
Trained episode: 76, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 2339
Trained episode: 77, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 2369
Trained episode: 78, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 2400
Trained episode: 79, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 2430
Trained episode: 80, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2460
Trained episode: 81, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 2490
Trained episode: 82, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 2520
Trained episode: 83, current score: -1 mean_score: 0.2, e: 0.099, iterations (steps): 2550
Trained episode: 84, current score: 1.0 mean_score: 0.2, e: 0.099, iterations (steps): 2580
Trained episode: 85, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 2611
Trained episode: 86, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 2641
Trained episode: 87, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 2671
Trained episode: 88, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 2701
Trained episode: 89, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 2731
Trained episode: 90, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 2761
Trained episode: 91, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 2791
Trained episode: 92, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 2823
Trained episode: 93, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 2854
Trained episode: 94, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 2884
Trained episode: 95, current score: -1 mean_score: 0.8, e: 0.099, iterations (steps): 2914
Trained episode: 96, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 2946
Trained episode: 97, current score: -1 mean_score: 0.8, e: 0.099, iterations (steps): 2976
Trained episode: 98, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 3006
Trained episode: 99, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 3037
Trained episode: 100, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 3067
Trained episode: 101, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 3097
Trained episode: 102, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 3128
Trained episode: 103, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 3158
Trained episode: 104, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3188
Trained episode: 105, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 3219
Trained episode: 106, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 3250
Trained episode: 107, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 3281
Trained episode: 108, current score: 1.0 mean_score: 0.3, e: 0.099, iterations (steps): 3312
Trained episode: 109, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3344
Trained episode: 110, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3374
Trained episode: 111, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3404
Trained episode: 112, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 3435
Trained episode: 113, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 3465
Trained episode: 114, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3496
Trained episode: 115, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3527
Trained episode: 116, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 3557
Trained episode: 117, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 3588
Trained episode: 118, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 3618
Trained episode: 119, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 3649
Trained episode: 120, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 3679
Trained episode: 121, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 3709
Trained episode: 122, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 3740
Trained episode: 123, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3771
Trained episode: 124, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3802
Trained episode: 125, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3832
Trained episode: 126, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 3863
Trained episode: 127, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3893
Trained episode: 128, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3923
Trained episode: 129, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3954
Trained episode: 130, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3985
Trained episode: 131, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4016
Trained episode: 132, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4047
Trained episode: 133, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 4077
Trained episode: 134, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4107
Trained episode: 135, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 4137
Trained episode: 136, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 4167
